44,STRAIGHT BOURBON WHISKEY,17520,Clyde May's Straight Bourbon,750ml,,92.0,$36.99 ,clyde may straight
45,STRAIGHT BOURBON WHISKEY,17507,Colonel's Pride Bourbon,1L,,80.0,$9.69 ,colonel pride
46,STRAIGHT BOURBON WHISKEY,17508,Colonel's Pride Bourbon,1.75L,,80.0,$16.99 ,colonel pride
47,STRAIGHT BOURBON WHISKEY,17566,David Nicholson 1843,750ml,,100.0,$29.99 ,david nicholson 1843
48,STRAIGHT BOURBON WHISKEY,17668,Distiller's Pride,1.75L,,80.0,$17.49 ,distiller pride
49,STRAIGHT BOURBON WHISKEY,17670,Duke Bourbon,750ml,,88.0,$41.19 ,duke
50,STRAIGHT BOURBON WHISKEY,17669,Duke Bourbon,750ml,,88.0,$41.19 ,duke
51,STRAIGHT BOURBON WHISKEY,21600,E H Taylor Jr. Barrel Proof Whiskey,750ml,,129.0,$69.99 ,e h taylor jr. barrel proof
52,STRAIGHT BOURBON WHISKEY,21602,E H Taylor Small Batch Whiskey,750ml,,100.0,$39.99 ,e h taylor small batch
53,STRAIGHT BOURBON WHISKEY,17766,Eagle Rare 10 Year Bourbon,750ml,,90.0,$30.99 ,eagle rare 10
54,STRAIGHT BOURBON WHISKEY,17768,Eagle Rare 10 Year Bourbon,1.75L,10YR,90.0,$57.99 ,eagle rare 10
55,STRAIGHT BOURBON WHISKEY,17764,Eagle Rare 10 Year Bourbon,375ml,10YR,90.0,$18.99 ,eagle rare 10
56,STRAIGHT BOURBON WHISKEY,17916,Elijah Craig,750ml,12YR,94.0,$29.99 ,elijah craig
57,STRAIGHT BOURBON WHISKEY,17919,Elijah Craig 12yr,1.75L,,94.0,$54.99 ,elijah craig 12
58,STRAIGHT BOURBON WHISKEY,17920,Elijah Craig 18-year Single Barrel Bourbon,750ml,18YR,90.0,$129.99 ,elijah craig 18- single barrel
59,STRAIGHT BOURBON WHISKEY,17923,Elijah Craig 21 Year Single Barrel Bourbon,750ml,,90.0,$158.29 ,elijah craig 21 single barrel
60,STRAIGHT BOURBON WHISKEY,17925,Elijah Craig 23 Year Single Barrel Bourbon,750ml,,90.0,$200.69 ,elijah craig 23 single barrel
61,STRAIGHT BOURBON WHISKEY,17914,Elijah Craig Small Batch Bourbon,750ml,,132.0,$49.99 ,elijah craig small batch
62,STRAIGHT BOURBON WHISKEY,17946,Elmer T Lee Bourbon,750ml,,90.0,$35.99 ,elmer t lee
63,STRAIGHT BOURBON WHISKEY,18096,Evan Williams 1783 Bourbon,750ml,,86.0,$16.99 ,evan williams 1783
64,STRAIGHT BOURBON WHISKEY,18098,Evan Williams 1783 Bourbon,1.75L,,86.0,$31.99 ,evan williams 1783
65,STRAIGHT BOURBON WHISKEY,17958,Evan Williams Black Bourbon,1.75L,,86.0,$26.99 ,evan williams black
66,STRAIGHT BOURBON WHISKEY,17953,Evan Williams Black Bourbon,200ml,,86.0,$4.99 ,evan williams black
67,STRAIGHT BOURBON WHISKEY,17954,Evan Williams Black Bourbon,375ml,,86.0,$6.99 ,evan williams black
68,STRAIGHT BOURBON WHISKEY,17956,Evan Williams Black Bourbon,750ml,,86.0,$13.99 ,evan williams black
69,STRAIGHT BOURBON WHISKEY,17957,Evan Williams Black Bourbon,1L,,86.0,$15.99 ,evan williams black
70,STRAIGHT BOURBON WHISKEY,18116,Evan Williams Black Carry Pack,750ml,,86.0,$13.99 ,evan williams black carry pack
71,STRAIGHT BOURBON WHISKEY,18044,Evan Williams Green Bourbon,375ml,,80.0,$5.99 ,evan williams green
72,STRAIGHT BOURBON WHISKEY,18046,Evan Williams Green Bourbon,750ml,,80.0,$10.99 ,evan williams green
73,STRAIGHT BOURBON WHISKEY,18047,Evan Williams Green Bourbon,1L,,80.0,$12.49 ,evan williams green
74,STRAIGHT BOURBON WHISKEY,18048,Evan Williams Green Bourbon,1.75L,,80.0,$22.99 ,evan williams green
75,STRAIGHT BOURBON WHISKEY,18120,Evan Williams Single Barrel Bourbon,750ml,7YR,86.6,$31.99 ,evan williams single barrel
76,STRAIGHT BOURBON WHISKEY,16096,Evan Williams White Bourbon,750ml,,100.0,$15.99 ,evan williams white
77,STRAIGHT BOURBON WHISKEY,18196,Ezra Brooks Bourbon,750ml,4YR,90.0,$12.99 ,ezra brooks
